Wall_Position,Surface_Gap,Ux,Uy,Uz,Ox,Oy,Oz
-2.00,3.00,0.0418872390,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0007563099
-2.05,3.05,0.0420136617,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0007445059
-2.10,3.10,0.0421364931,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0007328381
-2.15,3.15,0.0422558905,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0007213129
-2.20,3.20,0.0423720019,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0007099355
-2.25,3.25,0.0424849666,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0006987107
-2.30,3.30,0.0425949159,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0006876421
-2.35,3.35,0.0427019734,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0006767328
-2.40,3.40,0.0428062560,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0006659854
-2.45,3.45,0.0429078741,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0006554018
-2.50,3.50,0.0430069320,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0006449834
-2.55,3.55,0.0431035285,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0006347311
-2.60,3.60,0.0431977571,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0006246455
-2.65,3.65,0.0432897065,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0006147268
-2.70,3.70,0.0433794610,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0006049747
-2.75,3.75,0.0434671003,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0005953889
-2.80,3.80,0.0435527005,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0005859686
-2.85,3.85,0.0436363337,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0005767128
-2.90,3.90,0.0437180686,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0005676204
-2.95,3.95,0.0437979707,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0005586899
-3.00,4.00,0.0438761023,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0005499199
